ClienteID,NomeCliente,TipoCliente,Documento,Email,Telefone,RegiaoID
1,"João Gabriel Guerra","Pessoa Jurídica",94.061.283/0001-25,isadora85@example.net,"0900 005 0475",10
2,"Luana Araújo","Pessoa Física",361.428.509-05,ana-laura02@example.com,"51 5344 1883",1
3,"Gustavo Henrique Rocha","Pessoa Física",14.635.809/0001-02,krodrigues@example.net,"(051) 0837 5941",2
4,"Maysa Machado","Pessoa Física",698.257.304-47,jmendonca@example.org,"+55 84 2329-6362",7
5,"Sr. Yuri Oliveira","Pessoa Jurídica",09.742.315/0001-89,igor25@example.org,"61 6447-3812",6
6,"João Pedro Aparecida","Pessoa Física",95.371.406/0001-97,cassianojoao-pedro@example.net,"(021) 3174-5220",6
7,"Pedro Miguel Nunes","Pessoa Física",05.617.349/0001-90,samuel34@example.org,"+55 (071) 6797 3009",2
8,"Srta. Anna Liz Albuquerque","Pessoa Física",781.345.926-19,nathanfonseca@example.com,"(084) 0623-2229",3
9,"Davi Nascimento","Pessoa Jurídica",25.837.460/0001-08,barbosahelena@example.org,"(051) 4461-0095",5
10,"Mariah Aragão","Pessoa Física",20.948.136/0001-35,luiz-felipe51@example.com,"41 6878-6778",1
11,"Rebeca Farias","Pessoa Física",501.746.283-07,aurorada-mota@example.net,"(084) 2081 0927",6
12,"Luiz Henrique Sousa","Pessoa Jurídica",79.210.346/0001-74,pietracassiano@example.net,"11 4527-0223",2
13,"Arthur Freitas","Pessoa Física",04.953.718/0001-53,caio09@example.net,"+55 21 3162 1126",4
14,"João Pedro Jesus","Pessoa Jurídica",24.538.960/0001-78,martinsfelipe@example.net,"+55 (051) 8389-0570",8
15,"Maria Júlia Câmara","Pessoa Física",72.453.186/0001-45,maria-isissantos@example.net,"+55 61 6792 9325",3
16,"Vitor Hugo Sá","Pessoa Física",58.291.630/0001-42,joao-vitor29@example.net,"0500 566 0819",10
17,"Sr. Levi Ribeiro","Pessoa Jurídica",74.260.139/0001-00,qda-mata@example.org,"+55 21 0273-1073",6
18,"Luiz Gustavo Novais","Pessoa Física",809.714.235-04,qgomes@example.org,"+55 21 4517-7322",9
19,"Anthony Gabriel Aparecida","Pessoa Jurídica",420.516.793-80,caua65@example.com,"31 5208-2049",1
20,"Luiza Abreu","Pessoa Física",681.432.957-37,azevedoolivia@example.net,"+55 71 2955-8789",3
21,"Juan Viana","Pessoa Jurídica",217.960.483-13,vianamarcos-vinicius@example.com,"84 5961-4539",7
22,"Esther Costela","Pessoa Jurídica",49.681.570/0001-83,benicio25@example.com,"(061) 5330-8415",9
23,"Ana Carolina Nunes","Pessoa Jurídica",416.390.875-75,ana-sophia11@example.net,"(081) 5926 4687",2
